Episode,Episode _Num,Segment,Traffic ,Height ,Strategy ,Coverage (%),Recovery (%),Time (s),Energy (%),,,Episode,Strategy,Traffic,Height,Coverage(%),Recovery(%),Energy(%),Time(s)
Ep_8,2.0,Calle_1 (2),Low,Medium,Skip,93.75,0.0,49.64,2.757777778,,,,,,,,,,
Ep_8,3.0,Calle_1 (2),Low,Medium,Skip,77.5,0.0,55.46,3.081111111,,,,,,,,,,
Ep_8,4.0,Calle_1 (6),Low,Medium,Skip,76.74,4.65,71.07,3.948333333,,,,,,,,,,
Ep_8,5.0,Calle_1 (4),Low,Medium,Skip,83.33,0.0,49.38,2.743333333,,,,,,,,,,
Ep_8,6.0,Calle_1 (6),Low,Medium,Skip,73.68,7.89,100.52,5.584444444,,,,,,,,,,
Ep_8,7.0,Calle_1 (6),Low,Medium,Skip,85.71,0.0,39.11,2.172777778,,,,,,,,,,
Ep_8,8.0,Calle_1 (3),Low,Medium,Skip,78.95,0.0,54.94,3.052222222,,,,,,,,,,
Ep_8,9.0,Calle_1 (2),Low,Medium,Skip,75.86,3.45,91.36,5.075555556,,,,,,,,,,
Ep_8,10.0,Calle_1 (6),Low,Medium,Skip,90.32,0.0,42.41,2.356111111,,,,,,,,,,
Ep_8,11.0,Calle_1 (5),Low,Medium,Skip,77.14,0.0,54.94,3.052222222,,,,,,,,,,
Ep_8,12.0,Calle_1,Low,Medium,Skip,71.05,0.0,69.08,3.837777778,,,,,,,,,,
Ep_8,13.0,Calle_1 (1),Low,Medium,Skip,86.36,4.55,56.56,3.142222222,,,,,,,,,,
Ep_8,14.0,Calle_1 (3),Low,Medium,Skip,91.3,0.0,50.88,2.826666667,,,,,,,,,,
Ep_8,15.0,Calle_1 (6),Low,Medium,Skip,82.14,0.0,55.11,3.061666667,,,,,,,,,,
Ep_8,16.0,Calle_1 (3),Low,Medium,Skip,100.0,0.0,55.19,3.066111111,,,,,,,,,,
Ep_8,17.0,Calle_1,Low,Medium,Skip,59.09,18.18,109.25,6.069444444,,,,,,,,,,
Ep_8,18.0,Calle_1 (5),Low,Medium,Skip,72.73,0.0,50.88,2.826666667,,,,,,,,,,
Ep_8,19.0,Calle_1 (1),Low,Medium,Skip,78.26,0.0,55.4,3.077777778,,,,,,,,,,
Ep_8,20.0,Calle_1 (6),Low,Medium,Skip,82.76,6.9,110.37,6.131666667,,,,,,,,,,
Ep_9,1.0,Calle_1 (6),Low,High,Baseline,81.25,0.0,49.79,2.766111111,,,,,,,,,,
Ep_9,2.0,Calle_1 (1),Low,High,Baseline,92.0,0.0,54.83,3.046111111,,,,,,,,,,
Ep_9,3.0,Calle_1 (6),Low,High,Baseline,80.0,0.0,54.52,3.028888889,,,,,,,,,,
Ep_9,4.0,Calle_1,Low,High,Baseline,89.29,0.0,55.1,3.061111111,,,,,,,,,,
Ep_9,5.0,Calle_1 (3),Low,High,Baseline,82.76,0.0,55.25,3.069444444,,,,,,,,,,
Ep_9,6.0,Calle_1 (3),Low,High,Baseline,74.29,0.0,55.41,3.078333333,,,,,,,,,,
Ep_9,7.0,Calle_1 (4),Low,High,Baseline,87.88,0.0,55.29,3.071666667,,,,,,,,,,
Ep_9,8.0,Calle_1 (4),Low,High,Baseline,80.56,0.0,54.73,3.040555556,,,,,,,,,,
Ep_9,9.0,Calle_1 (6),Low,High,Baseline,96.3,0.0,55.32,3.073333333,,,,,,,,,,
Ep_9,10.0,Calle_1 (2),Low,High,Baseline,85.71,0.0,55.03,3.057222222,,,,,,,,,,
Ep_9,11.0,Calle_1 (3),Low,High,Baseline,77.14,0.0,55.23,3.068333333,,,,,,,,,,
Ep_9,12.0,Calle_1 (1),Low,High,Baseline,89.29,0.0,55.3,3.072222222,,,,,,,,,,
Ep_9,13.0,Calle_1 (1),Low,High,Baseline,73.68,0.0,55.52,3.084444444,,,,,,,,,,
Ep_9,14.0,Calle_1 (6),Low,High,Baseline,91.3,0.0,55.04,3.057777778,,,,,,,,,,
Ep_9,15.0,Calle_1,Low,High,Baseline,84.21,0.0,55.17,3.065,,,,,,,,,,
Ep_9,16.0,Calle_1 (5),Low,High,Baseline,77.14,0.0,55.25,3.069444444,,,,,,,,,,
Ep_9,17.0,Calle_1 (3),Low,High,Baseline,76.0,0.0,54.79,3.043888889,,,,,,,,,,
